Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
3716,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3717,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3718,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3719,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3720,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3721,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3722,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3723,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3724,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3725,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3726,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3727,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3728,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3729,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3730,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3731,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3732,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3733,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3734,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3735,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3736,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3737,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3738,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3739,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3740,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3741,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3742,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3743,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3744,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3745,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3746,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3747,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3748,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3749,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3750,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3751,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3752,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3753,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3754,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
